srs_id,priority,feature_file,scenario,layer,last_green,train
ORG-AUTH-001,P0,features/identity/ORG-AUTH-001-register.feature,Register creates a pending user and emails a 6-digit OTP,bdd,2026-08-21,
ORG-AUTH-001,P0,features/identity/ORG-AUTH-001-register.feature,Duplicate email is rejected with a clear error,bdd,2026-08-21,
ORG-AUTH-001,P0,features/identity/ORG-AUTH-001-register.feature,Weak and common passwords are rejected,bdd,2026-08-21,
ORG-AUTH-001,P0,features/identity/ORG-AUTH-001-register.feature,Unverified user cannot access protected APIs,bdd,2026-08-21,
ORG-AUTH-001,P0,features/identity/ORG-AUTH-001-register.feature,An invited person reads the OTP in-app instead of waiting for mail,bdd,2026-08-21,
ORG-AUTH-001,P0,features/identity/ORG-AUTH-001-register.feature,A forged invite token never reveals the OTP,bdd,2026-08-21,
ORG-AUTH-001,P0,features/identity/ORG-AUTH-001-register.feature,OTP verification activates the account and returns tokens,bdd,2026-08-21,
ORG-AUTH-002,P0,features/identity/ORG-AUTH-002-login.feature,Active user can log in,bdd,2026-08-21,
ORG-AUTH-002,P0,features/identity/ORG-AUTH-002-login.feature,Invalid credentials are generic (no email enumeration),bdd,2026-08-21,
ORG-AUTH-002,P0,features/identity/ORG-AUTH-002-login.feature,Five failed logins lock the account for 30 minutes,bdd,2026-08-21,
ORG-AUTH-002,P0,features/identity/ORG-AUTH-002-login.feature,Auth endpoints are rate limited per IP,bdd,2026-08-21,
ORG-AUTH-002,P0,features/identity/ORG-AUTH-002-login.feature,Refresh token rotation invalidates the previous refresh token,bdd,2026-08-21,
ORG-AUTH-003,P1,features/identity/ORG-AUTH-003-mfa.feature,MFA enable is deferred when time does not allow in Sprint 1,bdd,2026-08-21,
ORG-AUTH-004,P0,features/identity/ORG-AUTH-004-password-reset.feature,Forgot password always returns the same message,bdd,2026-08-21,
ORG-AUTH-004,P0,features/identity/ORG-AUTH-004-password-reset.feature,Reset link is single-use and invalidates sessions,bdd,2026-08-21,
ORG-AUTH-004,P0,features/identity/ORG-AUTH-004-password-reset.feature,New password must differ from the last 3 passwords,bdd,2026-08-21,
ORG-AUTH-005,P0,features/identity/ORG-AUTH-005-sessions.feature,List sessions and revoke one,bdd,2026-08-21,
ORG-AUTH-005,P0,features/identity/ORG-AUTH-005-sessions.feature,Log out all devices,bdd,2026-08-21,
MSG-DM-001,P0,features/messenger/MSG-DM-001-direct-message.feature,Start a 1:1 direct conversation and send an encrypted message,bdd,2026-08-21,
MSG-DM-001,P0,features/messenger/MSG-DM-001-direct-message.feature,Cannot send direct message to a user outside the organization without B2B connection,bdd,2026-08-21,
MSG-DM-001,P0,features/messenger/MSG-DM-001-direct-message.feature,Offline recipient receives queued messages upon reconnecting,bdd,2026-08-21,
MSG-DM-002,P0,features/messenger/MSG-DM-002-message-actions.feature,Edit own message within 15 minutes window,bdd,2026-08-21,
MSG-DM-002,P0,features/messenger/MSG-DM-002-message-actions.feature,Edit rejected after 15 minutes window,bdd,2026-08-21,
MSG-DM-002,P0,features/messenger/MSG-DM-002-message-actions.feature,Soft delete a message replaces content with placeholder,bdd,2026-08-21,
MSG-DM-002,P0,features/messenger/MSG-DM-002-message-actions.feature,Add and remove emoji reactions,bdd,2026-08-21,
MSG-DM-002,P0,features/messenger/MSG-DM-002-message-actions.feature,Quoted reply references the parent message,bdd,2026-08-21,
MSG-DM-002,P0,features/messenger/MSG-DM-002-message-actions.feature,Pin a message requires Manager or higher role,bdd,2026-08-21,
MSG-DM-003,P0,features/messenger/MSG-DM-003-typing-indicators.feature,Emit typing start and stop events,bdd,2026-08-21,
MSG-DM-004,P0,features/messenger/MSG-DM-004-read-receipts.feature,Message lifecycle transitions from Sent to Delivered to Read,bdd,2026-08-21,
MSG-DM-005,P0,features/messenger/MSG-DM-005-presence.feature,"User presence transitions across online, away, and offline",bdd,2026-08-21,
SHIELD-CORE-001,P0,features/messenger/SHIELD-CORE-001-e2ee-envelope.feature,Publish and fetch X3DH prekey bundle,bdd,2026-08-21,
SHIELD-CORE-001,P0,features/messenger/SHIELD-CORE-001-e2ee-envelope.feature,Direct message envelope contains only ciphertext in database,bdd,2026-08-21,
ORG-SETUP-001,P0,features/org/ORG-SETUP-001-create.feature,Create organization with defaults,bdd,2026-08-21,
ORG-SETUP-001,P0,features/org/ORG-SETUP-001-create.feature,Slug collision gets a numeric suffix,bdd,2026-08-21,
ORG-SETUP-001,P0,features/org/ORG-SETUP-001-create.feature,Unauthenticated create is rejected,bdd,2026-08-21,
ORG-SETUP-001,P0,features/org/ORG-SETUP-001-create.feature,X-Org-Id selects the active tenant,bdd,2026-08-21,
ORG-SETUP-002,P0,features/org/ORG-SETUP-002-invite.feature,Owner invites an existing user who accepts,bdd,2026-08-21,
ORG-SETUP-002,P0,features/org/ORG-SETUP-002-invite.feature,Duplicate pending invite is rejected,bdd,2026-08-21,
ORG-SETUP-002,P0,features/org/ORG-SETUP-002-invite.feature,CSV bulk invite parses emails,bdd,2026-08-21,
ORG-SETUP-002,P0,features/org/ORG-SETUP-002-invite.feature,Expired invitation cannot be accepted,bdd,2026-08-21,
ORG-SETUP-002,P0,features/org/ORG-SETUP-002-invite.feature,CSV junk rows are rejected,bdd,2026-08-21,
ORG-SETUP-002,P0,features/org/ORG-SETUP-002-invite.feature,Second tenant cannot see Acme members,bdd,2026-08-21,
ORG-SETUP-003,P0,features/org/ORG-SETUP-003-departments.feature,Create a nested department within five levels,bdd,2026-08-21,
ORG-SETUP-003,P0,features/org/ORG-SETUP-003-departments.feature,Sixth department level is rejected,bdd,2026-08-21,
ORG-SETUP-003,P0,features/org/ORG-SETUP-003-departments.feature,Deleting a department requires reassignment,bdd,2026-08-21,
ORG-SETUP-003,P0,features/org/ORG-SETUP-003-departments.feature,Create a team in a department,bdd,2026-08-21,
ORG-SETUP-004,P1,features/org/ORG-SETUP-004-org-chart.feature,Org chart is deferred when time does not allow in Sprint 2,bdd,2026-08-21,
ORG-SETUP-005,P0,features/org/ORG-SETUP-005-profile.feature,Member updates profile and presence,bdd,2026-08-21,
ORG-SETUP-005,P0,features/org/ORG-SETUP-005-profile.feature,Avatar upload URL is issued for valid images,bdd,2026-08-21,
ORG-SETUP-006,P0,features/org/ORG-SETUP-006-settings.feature,Owner updates invitation policy,bdd,2026-08-21,
ORG-SETUP-006,P0,features/org/ORG-SETUP-006-settings.feature,Member cannot change organization settings,bdd,2026-08-21,
SYS-DEP-003,P0,features/platform/SYS-DEP-003-stack.feature,Stack starts with no vendor accounts,bdd,2026-08-21,
